job,vote_average,vote_count,budget,revenue,people_count_unique
Stunts,6.593321769297485,3130739,77553980078,337282011852,788
Stunts Coordinator,6.5826086956521745,34121,1072000000,3726037803,21
Supervising ADR Editor,6.270967741935484,30540,1978500000,4255254932,25
Supervising Animator,6.737623762376238,210936,8573063391,30722529213,71
Supervising Art Director,6.381235154394299,934833,37368598266,115445991676,213
Supervising Dialogue Editor,6.176,24025,1180000000,2666393034,21
Supervising Film Editor,7.491666666666667,27622,484318000,3550418935,10
Supervising Music Editor,6.4622222222222225,60565,2676600000,10201107613,37
Supervising Producer,6.208333333333333,23271,627000000,1425614588,10
Supervising Sound Editor,6.369713261648746,1782198,62347156602,208574805418,391
Supervising Sound Effects Editor,6.429411764705883,44409,1648600000,4883715594,26
Supervising Technical Director,6.764285714285714,50258,1361000000,6515012635,14
Systems Administrators & Support,6.1499999999999995,124957,5242600000,17776097034,49
Tailor,6.517391304347826,35354,1715000000,4701951984,19
Tattoo Designer,6.1,2000,53000000,133459087,2
Tattooist,6.1000000000000005,1793,35000000,30387730,3
Technical Supervisor,6.1635294117647055,107923,6281300060,18069433536,63
Techno Crane Operator,6.333333333333333,4280,330000000,768148585,3
Telecine Colorist,6.338095238095238,22600,927306000,3300335290,15
Teleplay,5.46,10262,286500000,667968831,10
Temp Music Editor,6.914285714285714,22695,589000000,3456270847,6
Temp Sound Editor,6.2,981,20000000,167722310,1
Thanks,7.099101796407186,851106,18560297500,73396582193,315
Theatre Play,6.670175438596491,19026,470668472,1471176684,49
Third Assistant Director,6.490697674418605,69272,2322400000,7145637144,40
Title Designer,6.354320987654321,101482,4025400000,10705106505,58
Title Graphics,7.210714285714286,36253,817878762,3362723688,14
Translator,6.337037037037037,46795,1935000000,6624326717,21
Transportation Captain,6.51587982832618,379865,12848500000,40039559272,188
Transportation Co-Captain,6.425892857142857,190305,7157700000,25486896186,98
Transportation Coordinator,6.3464912280701755,811489,29368700000,95101514188,260
Underwater Camera,6.2438202247191015,154114,6840206000,18879847343,43
Underwater Director of Photography,6.2125,8804,519500000,1419334655,6
Underwater Gaffer,5.4,295,0,0,1
Unit Manager,6.470370370370371,107876,4819414948,14325825867,70
Unit Production Manager,6.465209471766849,771411,26718332783,88370645553,368
Unit Publicist,6.397766749379653,584533,21115311388,63302250579,182
Utility Sound,6.45,23270,959500000,2747422787,13
Utility Stunts,6.37090909090909,192900,8534100000,23980313210,101
VFX Artist,6.182857142857143,226435,8759000003,33933989616,37
VFX Editor,6.1039215686274515,155289,5964500000,18529469221,38
VFX Production Coordinator,6.380952380952381,106912,2474000006,13960552478,19
VFX Supervisor,6.285,120089,4422750403,12615092122,37
Video Assist Operator,6.231351351351351,289238,12665300000,37949679967,127
Video Game,5.2,613,35000000,85416905,1
Visual Development,6.703333333333333,354840,17344500000,54902313091,115
Visual Effects,6.360679611650485,819837,29561961351,113653833385,271
Visual Effects Art Director,6.224731182795699,194300,8834000000,27356737228,66
Visual Effects Coordinator,6.300190839694657,1050955,39220700000,133348045441,430
Visual Effects Design Consultant,6.8428571428571425,13936,562300000,2075813056,5
Visual Effects Designer,6.528571428571429,6510,483000000,1367767968,7
Visual Effects Editor,6.296616541353384,1901227,70332647143,228760535232,427
Visual Effects Producer,6.29122418879056,2740712,99919820328,310428310561,772
Visual Effects Supervisor,6.280824484697065,3169531,115699077640,381800444874,836
Visual Effects Technical Director,7.166666666666667,7952,185000000,1076607537,3
Vocal Coach,6.933333333333334,3418,125883848,951872489,6
Wardrobe Supervisor,6.38936170212766,49945,1803938783,6015113972,43
Wig Designer,5.966666666666666,2040,134000000,207833786,3
Wigmaker,6.436231884057971,266527,8923206028,25919545135,37
Writer,5.889608177172061,1275901,49291644852,138183164979,1974
